# Igbo Educational Content Synonyms for OpenSearch
# Mathematics and Numbers (Mgbako na Onụọgụgụ)
mgbako,mathematics,math,ọnụọgụgụ
afọ,year,annual,otu afọ
Mọnde,monday,first day,ụbọchị mbụ
Tuuzde,tuesday,second day,ụbọchị nke abụọ
Wenezde,wednesday,third day,ụbọchị nke atọ
Tọọzde,thursday,fourth day,ụbọchị nke anọ
Fraịde,friday,fifth day,ụbọchị nke ise
Satọde,saturday,sixth day,ụbọchị nke isii
Sọnde,sunday,seventh day,ụbọchị izu ike

# Colors (Agba)
agba,color,colour,shade
uhie,red,crimson,ọbara ọbara
acha anụnụ anụnụ,blue,navy,nke mbara igwe
akwụkwọ ndụ,green,emerald,nke osisi
edo edo,yellow,golden,nke ọla edo
ojii,black,dark,ọchịchịrị
ọcha,white,bright,ìhè
pink,pink,rose,rosy
odo odo,purple,violet,magenta
aja aja,brown,tan,nke aja
oroma,orange,saffron,nke oroma

# Body Parts (Akụkụ Ahụ)
ahụ,body,physique,anụ ahụ
isi,head,skull,okpokoro isi
anya,eye,eyes,anya abụọ
ntị,ear,ears,ntị abụọ
imi,nose,smell,imi isi
ọnụ,mouth,oral,ọnụ okwu
aka,hand,hands,aka abụọ
ụkwụ,foot,feet,ụkwụ abụọ
afọ,stomach,belly,eriri afọ
obi,heart,cardiac,obi ọma

# Family (Ezinụlọ)
ezinụlọ,family,household,ụlọ
nne,mother,mom,mama
nna,father,dad,papa
nwanne nwoke,brother,male sibling,nwanne
nwanne nwaanyị,sister,female sibling,nwanne
nna ochie,grandfather,grandpa,nna nna
nne ochie,grandmother,grandma,nne nne
nwanne nna,uncle,father's brother,deede
nwanne nne,aunt,mother's sister,daa

# Education Levels
ntọala,primary,elementary,basic
ime,secondary,middle,intermediate
elu,high,advanced,superior
mahadum,university,college,ụlọ akwụkwọ ukwu
gụsịrị akwụkwọ,graduate,bachelor,degree
gụsịrị akwụkwọ elu,postgraduate,master,elu elu

# Subjects
ọmụmụ ihe,learning,study,mmụta
nkuzi,teaching,instruction,izi ihe
nwale,test,examination,nnwale
amamihe,wisdom,knowledge,ọgụgụ isi
nghọta,understanding,comprehension,ịghọta

# Common Educational Terms
ihe ọmụmụ,lesson,topic,isiokwu
nrụnyere aka,practical,hands-on,ọrụ aka
nlegharị anya,review,revision,nlele
nchikota,summary,conclusion,mkpokọta
nsogbu,problem,challenge,ihe isi ike
azịza,answer,solution,ngwọta
ajụjụ,question,inquiry,ase
nchọpụta,discovery,finding,ịchọta
nyocha,research,investigation,nnyocha
ọmụmụ,study,learning,ịmụta
