# Kikuyu Educational Content Synonyms for OpenSearch
# Mathematics and Numbers (Mabataro na Namba)
mabataro,mathematics,math,namba
rũciinĩ,morning,rũciinĩ,dawn
mũthenya,afternoon,mũthenya,noon
hwaĩ-inĩ,evening,hwaĩ-inĩ,dusk
kiumia,week,matuku mũgwanja,seven days
mweri,month,matuku mirongo ĩtatũ,thirty days
mwaka,year,mieri ikũmi na ĩĩrĩ,annual
Jumatatu,monday,mũthenya wa mbere,first day
Jumanne,tuesday,mũthenya wa keerĩ,second day
Jumatano,wednesday,mũthenya wa gatatũ,third day
Kamene,thursday,mũthenya wa kana,fourth day
Njuguna,friday,mũthenya wa gatano,fifth day
Njumamothii,saturday,mũthenya wa gatandatũ,sixth day
Kiumia,sunday,mũthenya wa mũgwanja,seventh day

# Colors (Mĩrangi)
rangi,color,colour,shade
mũtune,red,crimson,mũtune
bururu,blue,wa igũrũ,navy
mũruru,green,wa mĩtĩ,emerald
mũrangarĩ,yellow,wa thahabu,golden
mũirũ,black,nduma,dark
mwerũ,white,mwerũ,bright
pinki,pink,wa rũtua,rose
zambarau,purple,violet,magenta
wa tĩĩri,brown,wa tĩĩri,tan
wa macungwa,orange,wa macungwa,saffron

# Body Parts (Ciana cia Mwĩrĩ)
mwĩrĩ,body,physique,mwĩrĩ
mũtwe,head,mũtwe,skull
riitho,eye,maitho,eyes
gũtũ,ear,matũ,ears
inyũrũ,nose,kũnua,smell
kanua,mouth,kanua,oral
guoko,hand,moko,hands
kũgũrũ,foot,magũrũ,feet
nda,stomach,nda,belly
ngoro,heart,gũũkũrũka kwa ngoro,cardiac

# Family (Nyũmba)
nyũmba,family,nyũmba,household
nyina,mother,mũciare wa mũndũ-wa-nja,mom
ithe,father,mũciare wa mũndũ-mũrũme,dad
mũrũ wa nyina,brother,mũrũ wa mũciare ũmwe,male sibling
mwarĩ wa nyina,sister,mwarĩ wa mũciare ũmwe,female sibling
guka,grandfather,guka,grandpa
cũcũ,grandmother,cũcũ,grandma
mamawe,uncle,mũrũ wa guka,father's brother
maitũ,aunt,mwarĩ wa cũcũ,mother's sister

# Education Levels
mwĩrĩra,primary,wa mbere,elementary
sekondere,secondary,wa gatagatĩ,middle
ya igũrũ,high,ya igũrũ,advanced
unibersiti,university,thomo ya igũrũ,college
rũtano,graduate,rĩa ũrutani,bachelor
rũtano rwa igũrũ,postgraduate,thomo ya igũrũ mũno,master

# Subjects
gũthoma,learning,ũthomo,study
kũruta,teaching,ũrutani,instruction
mũgeeto,test,kũgeetwo,examination
ũũgĩ,wisdom,ũũgĩ,knowledge
kũmenya,understanding,kũmenya,comprehension

# Common Educational Terms
ũthomo,lesson,ũthomo,topic
wĩra wa moko,practical,na moko,hands-on
kũrora rĩngĩ,review,kũrorania rĩngĩ,revision
kũgoocithania,summary,mũthia,conclusion
kĩria,problem,mwĩnyamaari,challenge
macookio,answer,ũhoro,solution
kĩũria,question,kĩũria,inquiry
kũmenyania,discovery,kũgũa,finding
ũtuuji,research,ũtuuji,investigation
ũthomo,study,gũthoma,learning
